obs_id;site_id;holiday;date
2097;29;Heritage Day;2015-09-24
2113;30;Day of good will;2016-12-26
2167;31;Family Day;2015-04-03
2180;31;Local Elections;2016-08-03
2187;31;Day of reconcilation;2015-12-16
2307;35;Christmas Day substitute;2016-12-26
2309;35;Day of good will;2017-12-26
2320;35;Heritage Day;2015-09-24
2324;35;National Elections;2014-05-07
2372;37;Easter Monday;2017-04-17
2376;37;Christmas Day;2017-12-25
2378;37;St Stephen's Day;2017-12-26
2388;37;Liberation Day;2017-04-25
2407;38;Christmas Day;2016-12-25
2437;39;Immaculate Conception;2015-12-08
2440;39;St Stephen's Day;2015-12-26
2464;40;Christmas Day;2017-12-25
2468;41;New year;2016-01-01
2495;43;New year;2016-01-01
2512;43;Día del trabajador;2014-05-01
2518;44;Epiphany;2016-01-06
2532;44;All Saints Day;2015-11-01
2544;44;Slovak National Uprising anniversary;2017-08-29
2573;44;Struggle for Freedom and Democracy Day;2013-11-17
2579;44;Saints Cyril and Methodius Day;2013-07-05
2581;44;New year;2014-01-01
2594;44;New year;2013-01-01
2601;45;Republic Day;2016-06-02
2612;45;Easter Monday;2017-04-17
2613;45;Republic Day;2017-06-02
2635;46;St Stephen's Day;2017-12-26
2651;50;Labour Day;2016-05-01
2653;50;Whit Monday;2016-05-16
2666;50;Assumption of Mary to Heaven;2015-08-15
2695;51;Easter Sunday;2016-03-27
2705;51;New year;2015-01-01
2758;54;International Workers' Day;2014-05-01
2778;54;Immaculate Conception;2014-12-08
2784;54;Liberation Day;2015-04-25
2807;55;St Stephen's Day;2014-12-26
2828;55;St Stephen's Day;2015-12-26
2837;57;Immaculate Conception;2016-12-08
2871;57;Christmas Day;2017-12-25
2882;89;Liberation Day;2017-04-25
2898;89;International Workers' Day;2017-05-01
2901;89;International Workers' Day;2015-05-01
2908;89;Christmas Day;2015-12-25
2936;58;Easter Monday;2016-03-28
2948;58;Whit Monday;2013-05-20
2996;58;Good Friday;2016-03-25
3016;58;Easter Sunday;2013-03-31
3018;67;All Saints Day;2016-11-01
3034;67;Epiphany;2015-01-06
3046;67;Republic Day;2015-06-02
3062;7;St Stephen's Day;2017-12-26
3117;11;Immaculate Conception;2016-12-08
3168;82;Boxing Day;2016-12-26
3178;82;Berchtold's Day;2016-01-02
3220;53;Whit Monday;2017-06-05
3248;56;All Saints Day;2015-11-01
3276;36;Easter Monday;2017-04-17
13;20;Washington's Birthday;2014-02-17
44;20;Memorial Day;2014-05-26
64;20;Christmas Eve;2017-12-24
83;34;Thanksgiving Day;2016-11-24
104;34;Christmas Eve;2015-12-24
109;34;New year;2017-01-01
174;48;Labour Day;2016-05-01
179;48;Ascension Thursday;2015-05-14
184;48;All Saints Day;2015-11-01
245;49;Republic Day;2015-06-02
252;88;Immaculate Conception;2014-12-08
254;88;St Stephen's Day;2015-12-26
265;88;Easter Monday;2015-04-06
272;88;Epiphany;2015-01-06
277;88;Liberation Day;2017-04-25
291;88;Assumption of Mary to Heaven;2014-08-15
306;59;Labour Day;2017-05-01
322;59;Bastille Day;2014-07-14
327;59;Whit Monday;2016-05-16
332;59;Christmas Day;2017-12-25
358;91;New year;2017-01-01
379;60;Easter Monday;2017-04-17
382;60;All Saints Day;2016-11-01
383;60;Whit Monday;2017-06-05
401;60;Labour Day;2016-05-01
403;60;Bastille Day;2015-07-14
419;61;Republic Day;2017-06-02
456;62;Republic Day;2016-06-02
457;62;Epiphany;2016-01-06
469;63;New year;2016-01-01
494;64;All Saints Day;2016-11-01
497;64;International Workers' Day;2017-05-01
526;65;Easter Monday;2017-04-17
530;65;St Stephen's Day;2017-12-26
565;66;All Saints Day;2017-11-01
567;66;Liberation Day;2017-04-25
593;68;All Saints Day;2017-11-01
611;68;International Workers' Day;2017-05-01
618;69;Assumption of Mary to Heaven;2015-08-15
656;86;Christmas Day;2015-12-25
666;86;International Workers' Day;2015-05-01
673;86;International Workers' Day;2016-05-01
685;70;Assumption of Mary to Heaven;2015-08-15
705;70;Liberation Day;2015-04-25
712;70;Republic Day;2015-06-02
837;74;Christmas Day;2017-12-25
853;75;Immaculate Conception;2016-12-08
871;75;Easter Monday;2015-04-06
884;75;Republic Day;2015-06-02
887;75;Assumption of Mary to Heaven;2015-08-15
894;75;Epiphany;2016-01-06
899;76;Liberation Day;2015-04-25
901;76;Immaculate Conception;2017-12-08
904;76;Liberation Day;2017-04-25
911;76;All Saints Day;2015-11-01
912;76;International Workers' Day;2017-05-01
942;77;Easter Monday;2017-04-17
968;90;Immaculate Conception;2014-12-08
975;90;New year;2016-01-01
1063;1;All Saints Day;2015-11-01
1083;1;Easter Monday;2016-03-28
1111;3;Easter Monday;2016-03-28
1118;3;Immaculate Conception;2017-12-08
1121;3;International Workers' Day;2015-05-01
1125;3;Epiphany;2016-01-06
1135;3;All Saints Day;2016-11-01
1169;4;Christmas Day;2016-12-25
1175;81;All Saints Day;2014-11-01
1184;81;Immaculate Conception;2014-12-08
1187;81;International Workers' Day;2015-05-01
1203;81;Republic Day;2014-06-02
1206;5;Immaculate Conception;2016-12-08
1211;5;Republic Day;2017-06-02
1229;5;New year;2016-01-01
1256;6;Christmas Day;2015-12-25
1258;6;Easter Monday;2017-04-17
1265;6;Immaculate Conception;2017-12-08
1289;83;International Workers' Day;2015-05-01
1309;83;Assumption of Mary to Heaven;2016-08-15
1318;79;Christmas Day;2014-12-25
1331;79;Immaculate Conception;2017-12-08
1332;79;Epiphany;2016-01-06
1345;79;St Stephen's Day;2015-12-26
1355;79;International Workers' Day;2016-05-01
1361;8;Liberation Day;2016-04-25
1395;8;Republic Day;2016-06-02
1412;9;Immaculate Conception;2014-12-08
1427;9;Liberation Day;2014-04-25
1445;10;Easter Monday;2017-04-17
1446;10;Christmas Day;2014-12-25
1480;12;Liberation Day;2016-04-25
1550;13;International Workers' Day;2016-05-01
1562;13;Christmas Day;2014-12-25
1573;14;International Workers' Day;2017-05-01
1582;14;Easter Monday;2017-04-17
1593;14;Christmas Day;2017-12-25
1616;78;Epiphany;2017-01-06
1620;78;Christmas Day;2017-12-25
1628;15;St Stephen's Day;2016-12-26
1635;15;St Stephen's Day;2017-12-26
1674;16;Easter Monday;2016-03-28
1684;16;St Stephen's Day;2017-12-26
1686;16;Epiphany;2015-01-06
1690;17;Epiphany;2017-01-06
1699;17;International Workers' Day;2014-05-01
1711;17;International Workers' Day;2017-05-01
1715;17;Republic Day;2016-06-02
1721;17;Assumption of Mary to Heaven;2016-08-15
1724;17;Immaculate Conception;2015-12-08
1725;17;Liberation Day;2016-04-25
1731;17;New year;2015-01-01
1750;18;Easter Monday;2015-04-06
1759;18;All Saints Day;2016-11-01
1780;19;Epiphany;2016-01-06
1786;19;Epiphany;2017-01-06
1795;19;Easter Monday;2015-04-06
1818;84;Epiphany;2017-01-06
1847;80;Republic Day;2015-06-02
1859;80;St Stephen's Day;2017-12-26
1878;21;New year;2016-01-01
1887;21;Immaculate Conception;2017-12-08
1915;23;St Stephen's Day;2017-12-26
1953;25;Epiphany;2016-01-06
1954;25;Republic Day;2016-06-02
1962;25;Liberation Day;2016-04-25
1977;85;Assumption of Mary to Heaven;2016-08-15
1980;85;Republic Day;2016-06-02
1990;26;St Stephen's Day;2016-12-26
1993;26;New year;2017-01-01
2028;27;Christmas Day;2016-12-25
2053;28;Liberation Day;2015-04-25
2054;28;Republic Day;2015-06-02
2059;28;St Stephen's Day;2015-12-26
2065;29;Youth Day;2014-06-16
2094;29;Easter Monday;2015-04-06
2129;30;Freedom Day;2015-04-27
2136;30;Workers Day;2015-05-01
2163;31;Day of good will;2014-12-26
2195;31;Workers Day;2015-05-01
2197;31;Youth Day;2016-06-16
2204;31;Day of good will;2016-12-26
2209;32;Family Day;2014-04-18
2211;32;Day of good will;2014-12-26
2225;32;New year;2014-01-01
2241;32;Human Rights Day;2014-03-21
2269;33;Workers Day;2016-05-01
2284;33;Freedom Day;2015-04-27
2327;35;Workers Day;2015-05-01
2358;35;New year;2015-01-01
2364;35;Freedom Day;2014-04-27
2382;37;St Stephen's Day;2016-12-26
2384;37;Assumption of Mary to Heaven;2016-08-15
2397;38;Immaculate Conception;2017-12-08
2398;38;Easter Monday;2016-03-28
2400;38;Epiphany;2016-01-06
2401;38;New year;2016-01-01
2435;39;Assumption of Mary to Heaven;2016-08-15
2455;40;International Workers' Day;2016-05-01
2458;40;Liberation Day;2017-04-25
2482;41;Assumption of Mary to Heaven;2017-08-15
2483;41;Epiphany;2016-01-06
2497;43;Assumption of Mary to Heaven;2014-08-15
2506;43;Día de la Constitución Española;2014-12-06
2541;44;Christmas Day;2013-12-25
2585;44;Christmas Day;2016-12-25
2677;51;Whit Sunday;2017-06-04
2694;51;National Holiday;2015-08-01
2726;52;Liberation Day;2015-04-25
2732;52;Republic Day;2016-06-02
2754;54;St Stephen's Day;2014-12-26
2757;54;All Saints Day;2017-11-01
2773;54;Epiphany;2017-01-06
2779;54;Easter Monday;2016-03-28
2797;55;Liberation Day;2015-04-25
2805;55;Republic Day;2014-06-02
2824;55;Immaculate Conception;2016-12-08
2849;57;New year;2015-01-01
2886;89;Epiphany;2017-01-06
2893;89;St Stephen's Day;2016-12-26
2913;58;National Holiday;2011-08-01
2922;58;Labour Day;2015-05-01
2938;58;New year;2011-01-01
2943;58;Labour Day;2012-05-01
2965;58;National Holiday;2015-08-01
2981;58;Christmas Day;2015-12-25
2989;58;Whit Monday;2016-05-16
3024;67;Easter Monday;2017-04-17
3044;67;Liberation Day;2017-04-25
3069;7;Assumption of Mary to Heaven;2014-08-15
3070;7;Epiphany;2015-01-06
3086;7;Easter Monday;2016-03-28
3087;7;Easter Monday;2015-04-06
3088;7;Liberation Day;2016-04-25
3093;7;Christmas Day;2015-12-25
3094;11;Liberation Day;2016-04-25
3099;11;New year;2016-01-01
3103;11;Republic Day;2015-06-02
3121;11;International Workers' Day;2017-05-01
3126;11;Epiphany;2014-01-06
3133;11;International Workers' Day;2014-05-01
3137;11;Assumption of Mary to Heaven;2015-08-15
3159;22;Christmas Day;2017-12-25
3180;82;Berchtold's Day;2017-01-02
3192;47;International Workers' Day;2017-05-01
3226;53;National Holiday;2016-05-01
3280;36;Epiphany;2016-01-06
1;20;Confederate Heroes Day;2014-01-19
23;20;Birthday of Martin Luther King, Jr.;2016-01-18
27;20;Thanksgiving Friday;2014-11-28
37;20;Birthday of Martin Luther King, Jr.;2017-01-16
70;20;Independence Day;2015-07-04
78;20;San Jacinto Day;2016-04-21
147;42;Bastille Day;2016-07-14
190;48;Armistice of 1918;2014-11-11
192;48;Labour Day;2015-05-01
194;48;Assumption of Mary to Heaven;2017-08-15
226;49;Easter Monday;2017-04-17
230;49;St Stephen's Day;2015-12-26
233;49;Liberation Day;2017-04-25
239;49;Easter Monday;2014-04-21
248;49;Christmas Day;2017-12-25
257;88;New year;2014-01-01
270;88;Assumption of Mary to Heaven;2017-08-15
275;88;Republic Day;2016-06-02
339;91;Ascension Thursday;2016-05-05
346;91;Christmas Day;2016-12-25
362;91;Armistice Day;2017-11-11
366;91;Victory in Europe Day;2017-05-08
389;60;Armistice Day;2015-11-11
405;61;Liberation Day;2016-04-25
413;61;St Stephen's Day;2015-12-26
422;61;St Stephen's Day;2016-12-26
433;61;Republic Day;2016-06-02
454;62;Epiphany;2017-01-06
466;63;Republic Day;2015-06-02
470;63;Liberation Day;2015-04-25
472;63;Assumption of Mary to Heaven;2016-08-15
491;63;New year;2017-01-01
499;64;Immaculate Conception;2015-12-08
503;64;Christmas Day;2015-12-25
511;64;St Stephen's Day;2017-12-26
558;65;Christmas Day;2017-12-25
561;66;Immaculate Conception;2017-12-08
566;66;Easter Monday;2016-03-28
573;66;New year;2017-01-01
591;68;Liberation Day;2016-04-25
619;69;Christmas Day;2015-12-25
638;69;Easter Monday;2016-03-28
646;69;St Stephen's Day;2017-12-26
701;70;Epiphany;2016-01-06
704;70;Christmas Day;2016-12-25
729;71;All Saints Day;2016-11-01
733;71;Liberation Day;2016-04-25
761;72;Dia da Liberdade;2015-04-25
772;72;Assunção de Nossa Senhora;2015-08-15
778;73;Easter Monday;2017-04-17
785;73;Republic Day;2015-06-02
786;73;Assumption of Mary to Heaven;2015-08-15
795;73;New year;2017-01-01
814;74;Assumption of Mary to Heaven;2014-08-15
815;74;Immaculate Conception;2014-12-08
822;74;St Stephen's Day;2017-12-26
833;74;Republic Day;2017-06-02
841;74;Epiphany;2017-01-06
844;74;Republic Day;2016-06-02
872;75;Immaculate Conception;2015-12-08
879;75;Assumption of Mary to Heaven;2017-08-15
893;75;International Workers' Day;2015-05-01
903;76;St Stephen's Day;2016-12-26
948;77;Assumption of Mary to Heaven;2015-08-15
959;77;Epiphany;2017-01-06
1002;90;International Workers' Day;2016-05-01
1014;87;Immaculate Conception;2016-12-08
1023;87;Assumption of Mary to Heaven;2014-08-15
1049;87;International Workers' Day;2016-05-01
1051;1;Republic Day;2017-06-02
1052;1;St Stephen's Day;2017-12-26
1061;1;New year;2015-01-01
1066;1;New year;2017-01-01
1074;1;Christmas Day;2016-12-25
1102;2;Epiphany;2013-01-06
1129;3;Republic Day;2017-06-02
1139;4;Epiphany;2017-01-06
1145;4;International Workers' Day;2017-05-01
1148;4;Assumption of Mary to Heaven;2017-08-15
1158;4;Easter Monday;2015-04-06
1160;4;All Saints Day;2015-11-01
1172;81;Republic Day;2015-06-02
1177;81;Immaculate Conception;2016-12-08
1185;81;St Stephen's Day;2014-12-26
1186;81;Epiphany;2015-01-06
1189;81;Liberation Day;2014-04-25
1190;81;Assumption of Mary to Heaven;2016-08-15
1212;5;Assumption of Mary to Heaven;2014-08-15
1227;5;Epiphany;2015-01-06
1280;6;Immaculate Conception;2015-12-08
1314;83;Liberation Day;2015-04-25
1333;79;Republic Day;2016-06-02
1349;79;Liberation Day;2014-04-25
1362;8;Assumption of Mary to Heaven;2014-08-15
1363;8;St Stephen's Day;2014-12-26
1381;8;New year;2014-01-01
1419;9;Immaculate Conception;2015-12-08
1430;9;All Saints Day;2016-11-01
1448;10;Easter Monday;2016-03-28
1462;10;Assumption of Mary to Heaven;2014-08-15
1464;10;All Saints Day;2015-11-01
1470;10;Christmas Day;2017-12-25
1474;10;Assumption of Mary to Heaven;2017-08-15
1508;12;Assumption of Mary to Heaven;2017-08-15
1511;12;Liberation Day;2015-04-25
1521;12;All Saints Day;2014-11-01
1523;12;Immaculate Conception;2015-12-08
1538;13;Republic Day;2017-06-02
1545;13;All Saints Day;2016-11-01
1590;14;Easter Monday;2016-03-28
1594;14;Liberation Day;2016-04-25
1595;14;Assumption of Mary to Heaven;2017-08-15
1604;78;Epiphany;2016-01-06
1610;78;Liberation Day;2017-04-25
1612;78;International Workers' Day;2016-05-01
1619;78;St Stephen's Day;2016-12-26
1655;15;Assumption of Mary to Heaven;2015-08-15
1664;16;International Workers' Day;2017-05-01
1670;16;Republic Day;2015-06-02
1688;16;Epiphany;2016-01-06
1696;17;Republic Day;2015-06-02
1707;17;Assumption of Mary to Heaven;2015-08-15
1753;18;All Saints Day;2017-11-01
1760;18;New year;2017-01-01
1763;18;St Stephen's Day;2015-12-26
1767;19;Christmas Day;2015-12-25
1769;19;Easter Monday;2016-03-28
1777;19;Republic Day;2016-06-02
1787;19;Assumption of Mary to Heaven;2017-08-15
1790;19;Liberation Day;2017-04-25
1793;19;International Workers' Day;2015-05-01
1794;19;Immaculate Conception;2017-12-08
1800;84;Easter Monday;2017-04-17
1827;84;Republic Day;2015-06-02
1851;80;All Saints Day;2015-11-01
1876;21;New year;2017-01-01
1913;23;New year;2017-01-01
1921;24;Immaculate Conception;2017-12-08
1937;24;All Saints Day;2017-11-01
1939;24;Epiphany;2016-01-06
1942;25;All Saints Day;2017-11-01
1945;25;St Stephen's Day;2016-12-26
1947;25;International Workers' Day;2016-05-01
1961;25;Assumption of Mary to Heaven;2017-08-15
2033;28;Immaculate Conception;2015-12-08
2066;29;New year;2016-01-01
2076;29;Day of reconcilation;2014-12-16
2088;29;Family Day;2016-03-25
2100;29;New year;2015-01-01
2108;29;Easter Monday;2016-03-28
2116;30;National Women Day substitute;2015-08-10
2126;30;Boxing Day;2015-12-26
2132;30;Youth Day;2016-06-16
2189;31;Heritage Day;2014-09-24
2212;32;Workers Day substitute;2016-05-02
2255;33;Human Rights Day;2016-03-21
2285;33;Heritage Day;2015-09-24
2306;35;Day of reconcilation;2016-12-16
2341;35;Workers Day substitute;2016-05-02
2350;35;National Women Day;2016-08-09
2359;35;Day of good will;2015-12-26
2380;37;Epiphany;2016-01-06
2383;37;International Workers' Day;2017-05-01
2394;38;Easter Monday;2017-04-17
2395;38;All Saints Day;2016-11-01
2403;38;All Saints Day;2017-11-01
2406;38;International Workers' Day;2016-05-01
2447;40;Epiphany;2016-01-06
2485;41;Liberation Day;2016-04-25
2499;43;Epiphany;2015-01-06
2526;44;Day of the Establishment of the Slovak Republic;2015-01-01
2531;44;Labour Day;2014-05-01
2540;44;Liberation Day;2013-05-08
2547;44;Day of the Constitution of the Slovak Republic;2014-09-01
2549;44;Day of Blessed Virgin Mary, patron saint of Slovakia;2016-09-15
2572;44;Day of Blessed Virgin Mary, patron saint of Slovakia;2013-09-15
2607;45;Epiphany;2016-01-06
2627;46;Liberation Day;2017-04-25
2647;50;All Saints Day;2016-11-01
2652;50;Ascension Thursday;2016-05-05
2655;50;Ascension Thursday;2017-05-25
2702;51;New year;2017-01-01
2771;54;International Workers' Day;2015-05-01
2781;54;Republic Day;2015-06-02
2789;55;Republic Day;2015-06-02
2806;55;Assumption of Mary to Heaven;2014-08-15
2820;55;Republic Day;2017-06-02
2872;57;Republic Day;2014-06-02
2881;89;Easter Monday;2017-04-17
2899;89;Christmas Day;2016-12-25
2905;89;Liberation Day;2016-04-25
2918;58;Easter Monday;2009-04-13
2929;58;New year;2010-01-01
2932;58;Good Friday;2014-04-18
2939;58;Easter Monday;2012-04-09
2979;58;Christmas Day;2014-12-25
3022;67;Assumption of Mary to Heaven;2015-08-15
3038;67;New year;2017-01-01
3082;7;International Workers' Day;2014-05-01
3089;7;Immaculate Conception;2017-12-08
3090;7;Republic Day;2015-06-02
3098;11;Immaculate Conception;2015-12-08
3106;11;New year;2017-01-01
3110;11;Easter Monday;2017-04-17
3128;11;Christmas Day;2015-12-25
3132;11;Liberation Day;2014-04-25
3136;11;St Stephen's Day;2014-12-26
3149;22;Assumption of Mary to Heaven;2016-08-15
3177;82;Easter Monday;2017-04-17
3194;47;St Stephen's Day;2017-12-26
3214;53;Assumption of Mary to Heaven;2016-08-15
3236;56;Easter Monday;2016-03-28
3242;56;Whit Monday;2017-06-05
3245;56;Assumption of Mary to Heaven;2016-08-15
3253;56;All Saints Day;2017-11-01
3256;56;Christmas Day;2015-12-25
3260;56;Ascension Thursday;2016-05-05
6;20;Memorial Day;2016-05-30
7;20;Labor Day;2016-09-05
11;20;Christmas Eve (Observed);2017-12-26
24;20;Lyndon B. Jonhson Day;2016-08-27
30;20;San Jacinto Day;2017-04-21
35;20;Labor Day;2015-09-07
40;20;Lyndon B. Jonhson Day;2014-08-27
50;20;Lyndon B. Jonhson Day;2017-08-27
85;34;Christmas Eve;2017-12-24
91;34;Veterans Day;2015-11-11
106;34;Veterans Day;2017-11-11
110;34;Washington's Birthday;2016-02-15
111;34;Thanksgiving Day;2017-11-23
114;34;Christmas Eve (Observed);2016-12-23
139;42;Assumption of Mary to Heaven;2014-08-15
167;48;Easter Monday;2017-04-17
171;48;Whit Monday;2017-06-05
172;48;All Saints Day;2017-11-01
203;48;National Day;2015-07-21
215;49;Easter Monday;2016-03-28
243;49;Immaculate Conception;2014-12-08
250;49;All Saints Day;2015-11-01
258;88;Christmas Day;2014-12-25
282;88;Immaculate Conception;2017-12-08
284;88;Epiphany;2016-01-06
300;59;Easter Monday;2014-04-21
318;59;Bastille Day;2016-07-14
329;59;Labour Day;2015-05-01
331;59;Easter Monday;2017-04-17
367;91;Whit Monday;2015-05-25
396;60;Christmas Day;2015-12-25
430;61;Liberation Day;2017-04-25
435;61;Assumption of Mary to Heaven;2015-08-15
443;62;New year;2016-01-01
473;63;International Workers' Day;2017-05-01
482;63;Assumption of Mary to Heaven;2015-08-15
522;64;Liberation Day;2015-04-25
546;65;Immaculate Conception;2016-12-08
563;66;Republic Day;2016-06-02
621;69;International Workers' Day;2016-05-01
624;69;Liberation Day;2017-04-25
636;69;Republic Day;2017-06-02
637;69;St Stephen's Day;2016-12-26
669;86;All Saints Day;2015-11-01
691;70;St Stephen's Day;2016-12-26
727;71;Republic Day;2017-06-02
750;72;Christmas Day;2016-12-25
753;72;New year;2016-01-01
765;72;Dia do Trabalhador;2016-05-01
766;72;Assunção de Nossa Senhora;2016-08-15
776;73;New year;2016-01-01
802;73;Christmas Day;2015-12-25
819;74;Immaculate Conception;2015-12-08
840;74;Immaculate Conception;2016-12-08
854;75;St Stephen's Day;2016-12-26
858;75;Easter Monday;2017-04-17
877;75;St Stephen's Day;2014-12-26
890;75;Liberation Day;2014-04-25
909;76;St Stephen's Day;2015-12-26
923;76;Christmas Day;2016-12-25
940;77;Republic Day;2015-06-02
970;90;St Stephen's Day;2017-12-26
988;90;Republic Day;2016-06-02
1000;90;Easter Monday;2015-04-06
1013;87;Immaculate Conception;2015-12-08
1042;87;Easter Monday;2017-04-17
1103;2;International Workers' Day;2014-05-01
1122;3;Republic Day;2015-06-02
1159;4;Republic Day;2015-06-02
1178;81;International Workers' Day;2016-05-01
1215;5;Immaculate Conception;2015-12-08
1221;5;Republic Day;2016-06-02
1228;5;St Stephen's Day;2015-12-26
1239;5;Immaculate Conception;2017-12-08
1247;5;Easter Monday;2015-04-06
1273;6;St Stephen's Day;2015-12-26
1282;83;Liberation Day;2016-04-25
1285;83;St Stephen's Day;2014-12-26
1286;83;St Stephen's Day;2015-12-26
1302;83;New year;2014-01-01
1310;83;Immaculate Conception;2016-12-08
1312;83;All Saints Day;2016-11-01
1315;79;All Saints Day;2017-11-01
1335;79;International Workers' Day;2017-05-01
1340;79;Christmas Day;2016-12-25
1385;8;New year;2016-01-01
1405;9;St Stephen's Day;2014-12-26
1406;9;Assumption of Mary to Heaven;2014-08-15
1424;9;Republic Day;2015-06-02
1425;9;Christmas Day;2016-12-25
1454;10;St Stephen's Day;2017-12-26
1459;10;Easter Monday;2014-04-21
1465;10;Christmas Day;2016-12-25
1498;12;Christmas Day;2017-12-25
1535;13;Christmas Day;2017-12-25
1552;13;Easter Monday;2017-04-17
1565;13;All Saints Day;2017-11-01
1568;14;Immaculate Conception;2016-12-08
1597;14;Assumption of Mary to Heaven;2015-08-15
1601;78;Easter Monday;2016-03-28
1602;78;Republic Day;2017-06-02
1617;78;All Saints Day;2017-11-01
1656;16;Epiphany;2017-01-06
1665;16;All Saints Day;2016-11-01
1667;16;Republic Day;2016-06-02
1703;17;Liberation Day;2015-04-25
1710;17;Epiphany;2016-01-06
1729;17;All Saints Day;2017-11-01
1735;18;Assumption of Mary to Heaven;2016-08-15
1740;18;Epiphany;2016-01-06
1766;19;Christmas Day;2016-12-25
1773;19;St Stephen's Day;2015-12-26
1782;19;Republic Day;2017-06-02
1803;84;St Stephen's Day;2017-12-26
1805;84;Liberation Day;2015-04-25
1821;84;Easter Monday;2015-04-06
1824;84;Assumption of Mary to Heaven;2014-08-15
1875;80;Liberation Day;2017-04-25
1897;21;All Saints Day;2016-11-01
