obs_id;site_id;surface;base_temperature;monday_is_day_off;tuesday_is_day_off;wednesday_is_day_off;thursday_is_day_off;friday_is_day_off;saturday_is_day_off;sunday_is_day_off
34;44;9084.382914053276;18.0;False;False;False;False;False;True;True
62;39;9500.105855879956;18.0;False;False;False;False;False;True;True
2;62;2705.0604202173417;18.0;False;False;False;False;False;True;True
8;4;20683.592124267016;18.0;False;False;False;False;False;True;True
9;16;9551.823600819334;18.0;False;False;False;False;False;False;False
11;6;18772.751947399232;18.0;False;False;False;False;False;False;False
17;78;65578.16872838885;18.0;False;False;False;False;False;True;True
22;57;3142.3696402926003;18.0;False;False;False;False;False;True;True
25;38;2484.2441524378955;18.0;False;False;False;False;False;True;True
49;51;10363.82371387584;18.0;False;False;False;False;False;True;True
56;77;20295.44546371617;18.0;False;False;False;False;False;True;True
75;76;13278.24056682468;18.0;False;False;False;False;False;True;True
90;82;5802.693730220199;18.0;False;False;False;False;False;True;True
43;47;212.8016547812149;18.0;False;False;False;False;False;True;True
46;13;71615.85247589508;20.0;False;False;False;False;False;True;True
89;79;6843.612339842948;18.0;False;False;False;False;False;True;True
26;21;1694.9545815102756;18.0;False;False;False;False;False;True;True
60;87;17695.884493142366;18.0;False;False;False;False;False;True;True
73;15;16727.851489208406;18.0;False;False;False;False;False;True;True
4;36;3036.009550344897;18.0;False;False;False;False;False;True;True
18;72;59.90445112111047;18.0;False;False;False;False;False;True;True
31;81;8554.793630982167;18.0;False;False;False;False;False;True;True
44;89;3813.660202402389;18.0;False;False;False;False;False;True;True
88;8;5470.205017883332;18.0;False;False;False;False;False;True;True
5;70;424.3406632660189;18.0;False;False;False;False;False;True;True
23;59;3280.584453542135;18.0;False;False;False;False;False;True;True
47;67;572.9816757806111;18.0;False;False;False;False;False;True;True
53;43;12572.84019840881;18.0;False;False;False;False;False;True;True
65;37;456.9008067366667;18.0;False;False;False;False;False;True;True
78;54;3580.1489907316864;18.0;False;False;False;False;False;True;True
85;58;21284.57862198667;18.0;False;False;False;False;False;True;True
13;91;8336.284919582307;18.0;False;False;False;False;False;True;True
28;10;996.655109897256;18.0;False;False;False;False;False;True;True
29;66;1095.2528725669254;18.0;False;False;False;False;False;True;True
57;73;2775.1277192798443;18.0;False;False;False;False;False;True;True
61;31;18121.94463913329;18.0;False;False;False;False;False;True;True
66;68;1629.4589315075427;18.0;False;False;False;False;False;True;True
30;42;7392.365414998494;18.0;False;False;False;False;False;True;True
40;33;8867.633190238848;18.0;False;False;False;False;False;True;True
63;83;8793.378373174928;18.0;False;False;False;False;False;True;True
69;11;2968.755596259143;18.0;False;False;False;False;False;True;True
76;61;1032.735063490691;18.0;False;False;False;False;False;True;True
81;45;1372.6977925375106;18.0;False;False;False;False;False;True;True
6;1;9047.136190339224;18.0;False;False;False;False;False;True;True
15;23;762.1230935826899;18.0;False;False;False;False;False;True;True
32;26;1849.278622076381;18.0;False;False;False;False;False;True;True
38;14;16355.878745671362;18.0;False;False;False;False;False;True;True
55;53;5996.254722215235;18.0;False;False;False;False;False;True;True
70;85;1887.4202605099413;18.0;False;False;False;False;False;True;True
71;50;13357.690454344263;18.0;False;False;False;False;False;True;True
79;18;13999.177368241362;18.0;False;False;False;False;False;True;True
