,obs_id,site_id,timestamp,leaderboard_target,target
51,1941,83,2014-04-04 18:00:00+00:00,private,2224.1427785012274
52,508,79,2014-04-04 23:00:00+00:00,private,7532.8647558642115
53,441,79,2014-04-05 23:00:00+00:00,public,599766.2594053528
54,1789,83,2014-04-07 19:00:00+00:00,public,3531.0459580342713
55,563,79,2014-04-08 13:00:00+00:00,private,984937.748342342
56,589,79,2014-04-10 02:00:00+00:00,private,8532.500934392658
57,1986,83,2014-04-11 16:00:00+00:00,private,16352.088074346404
58,1886,83,2014-04-11 18:00:00+00:00,private,8922.525179911354
59,1832,83,2014-04-13 15:00:00+00:00,public,121.49943964873334
60,349,79,2014-04-14 16:00:00+00:00,public,6311.580690352498
61,504,79,2014-04-18 21:00:00+00:00,private,9044.974042526123
62,513,79,2014-04-20 22:00:00+00:00,private,38244.07155597208
63,447,79,2014-04-21 11:00:00+00:00,public,28779.4413852996
64,1771,83,2014-04-22 23:00:00+00:00,public,3538.4045147078723
65,455,79,2014-04-23 13:00:00+00:00,public,4470.995748613044
66,1715,83,2014-04-23 14:00:00+00:00,public,62687.98793938141
67,1723,83,2014-04-26 08:00:00+00:00,public,1125.8686443941303
68,569,79,2014-04-27 14:00:00+00:00,private,23884.327293023965
69,375,79,2014-04-28 12:00:00+00:00,public,11049.837433320148
70,1719,83,2014-04-29 08:00:00+00:00,public,4654.84207442269
71,1922,83,2014-04-30 11:00:00+00:00,private,602232.1786960888
72,498,79,2014-05-01 22:00:00+00:00,public,20221.819979675536
73,604,79,2014-05-01 23:00:00+00:00,private,15597.171563623828
74,360,79,2014-05-03 02:00:00+00:00,public,5278.994276154887
75,1758,83,2014-05-05 02:00:00+00:00,public,12976.985433513077
76,1732,83,2014-05-07 16:00:00+00:00,public,7724.02420843812
77,566,79,2014-05-08 07:00:00+00:00,private,39564.002716531875
78,1990,83,2014-05-09 15:00:00+00:00,private,3483.069698048517
79,1871,83,2014-05-12 07:00:00+00:00,private,10244.070083445966
80,1882,83,2014-05-14 18:00:00+00:00,private,31564.378979755205
81,1934,83,2014-05-16 00:00:00+00:00,private,3243.6699603163834
82,1720,83,2014-05-17 01:00:00+00:00,public,78832.49902627824
83,460,79,2014-05-19 14:00:00+00:00,public,722239.914987873
84,1800,83,2014-05-19 22:00:00+00:00,public,29668.788048669434
85,519,79,2014-05-21 01:00:00+00:00,private,1990.4859361777483
86,509,79,2014-05-22 20:00:00+00:00,private,11529.067034842365
87,435,79,2014-05-23 10:00:00+00:00,public,21514.984047164042
88,1843,83,2014-05-23 11:00:00+00:00,public,2292.682430000822
89,404,79,2014-05-23 20:00:00+00:00,public,9251.806855948083
90,1773,83,2014-05-25 14:00:00+00:00,public,19188.279939344055
91,1931,83,2014-05-28 03:00:00+00:00,private,3523.350439328636
92,1844,83,2014-05-28 08:00:00+00:00,public,26919.60412026898
93,1701,83,2014-06-01 18:00:00+00:00,public,294787.9588350301
94,1858,83,2014-06-08 00:00:00+00:00,private,20244.280301580675
95,433,79,2014-06-10 03:00:00+00:00,public,377030.3675904633
96,1891,83,2014-06-11 00:00:00+00:00,private,30812.539821345883
97,1793,83,2014-06-11 10:00:00+00:00,public,18995.898110804083
98,1853,83,2014-06-25 00:00:00+00:00,private,10599.982310418523
99,548,79,2014-06-25 03:00:00+00:00,private,27522.217391242775
100,454,79,2014-06-25 20:00:00+00:00,public,19944.377422094665
101,1718,83,2014-06-25 23:00:00+00:00,public,91800.3775812292
102,1813,83,2014-06-27 04:00:00+00:00,public,8293.031495678826
103,2015,83,2014-06-27 06:00:00+00:00,private,2008.355171953724
104,1896,83,2014-06-28 00:00:00+00:00,private,22673.204105138204
105,350,79,2014-06-28 07:00:00+00:00,public,8844.952627163493
106,1913,83,2014-06-29 22:00:00+00:00,private,396576.86229084356
107,1755,83,2014-07-01 07:00:00+00:00,public,57304.085077482356
108,444,79,2014-07-03 00:00:00+00:00,public,66085.39382154187
109,1710,83,2014-07-03 07:00:00+00:00,public,14007.343276544914
110,1692,83,2014-07-05 17:00:00+00:00,public,8671.242418439933
111,499,79,2014-07-09 09:00:00+00:00,public,37878.69534930498
112,456,79,2014-07-11 10:00:00+00:00,public,15969.700843086743
113,1987,83,2014-07-16 06:00:00+00:00,private,25409.546243357752
114,465,79,2014-07-16 09:00:00+00:00,public,6518.13557230947
115,561,79,2014-07-17 15:00:00+00:00,private,439637.1007590264
116,585,79,2014-07-22 01:00:00+00:00,private,35377.000637798024
117,1730,83,2014-07-23 14:00:00+00:00,public,36597.123234790306
118,483,79,2014-07-25 01:00:00+00:00,public,39056.81601906286
119,505,79,2014-07-25 14:00:00+00:00,private,185.09286860178594
120,471,79,2014-07-26 07:00:00+00:00,public,17498.391395663464
121,468,79,2014-07-26 14:00:00+00:00,public,7964.345910600413
122,634,79,2014-07-27 03:00:00+00:00,private,1900.8710432073135
123,1753,83,2014-07-28 22:00:00+00:00,public,25637.41192455986
124,1760,83,2014-07-29 20:00:00+00:00,public,2340.757619574896
125,388,79,2014-07-30 09:00:00+00:00,public,135417.0857221176
126,1923,83,2014-08-01 13:00:00+00:00,private,128462.5575241006
127,1983,83,2014-08-03 11:00:00+00:00,private,1812.0337688820687
128,1898,83,2014-08-04 10:00:00+00:00,private,1965.0753062747335
129,1862,83,2014-08-05 20:00:00+00:00,private,12377.783504938909
130,1699,83,2014-08-08 10:00:00+00:00,public,14964.591077879366
131,1993,83,2014-08-09 00:00:00+00:00,private,9751.043800509315
132,1742,83,2014-08-09 10:00:00+00:00,public,926429.8505778859
133,484,79,2014-08-09 11:00:00+00:00,public,7682.3961046599115
134,646,79,2014-08-09 19:00:00+00:00,private,7023.729719058708
135,1852,83,2014-08-11 21:00:00+00:00,private,15817.535546735066
136,1733,83,2014-08-12 00:00:00+00:00,public,16846.462870524956
137,536,79,2014-08-12 12:00:00+00:00,private,28313.3010421773
138,559,79,2014-08-13 07:00:00+00:00,private,271587.43048597564
139,1984,83,2014-08-15 10:00:00+00:00,private,8900.872480510909
140,417,79,2014-08-17 01:00:00+00:00,public,2600.7760772668994
141,529,79,2014-08-20 13:00:00+00:00,private,8525.650091147003
142,537,79,2014-08-21 10:00:00+00:00,private,4062.9300757369397
143,593,79,2014-08-26 09:00:00+00:00,private,424366.3582079068
144,336,79,2014-08-28 15:00:00+00:00,public,15766.840645815817
145,1691,83,2014-08-28 18:00:00+00:00,public,9311.813192401163
146,1780,83,2014-08-29 20:00:00+00:00,public,23353.792312535847
147,1933,83,2014-09-01 23:00:00+00:00,private,161255.81493515885
148,1297,81,2014-09-08 22:00:00+00:00,private,1457.4857509868957
149,1079,81,2014-09-11 03:00:00+00:00,public,53557.9543658655
150,1323,81,2014-09-11 10:00:00+00:00,private,2904.324946737111
151,507,79,2014-09-11 16:00:00+00:00,private,577387.8937884069
152,1745,83,2014-09-13 20:00:00+00:00,public,29529.54006453585
153,1243,81,2014-09-14 00:00:00+00:00,private,1218717.0202568586
154,485,79,2014-09-14 03:00:00+00:00,public,213768.87673276066
155,1009,81,2014-09-14 13:00:00+00:00,public,2603.193241910959
156,1014,81,2014-09-15 00:00:00+00:00,public,22927.960075060706
157,1104,81,2014-09-15 02:00:00+00:00,public,6822.323419205498
158,396,79,2014-09-15 03:00:00+00:00,public,196104.00843909854
159,1157,81,2014-09-15 23:00:00+00:00,public,25684.85684501131
160,412,79,2014-09-16 18:00:00+00:00,public,654704.9705215025
161,1782,83,2014-09-17 05:00:00+00:00,public,674217.3017898058
162,1184,81,2014-09-18 03:00:00+00:00,private,13519.002091211256
163,1160,81,2014-09-18 07:00:00+00:00,public,4587.190130537961
164,558,79,2014-09-20 06:00:00+00:00,private,8935.650741887826
165,1303,81,2014-09-20 22:00:00+00:00,private,22661.552517021766
166,1942,83,2014-09-21 00:00:00+00:00,private,22235.718957458852
167,1954,83,2014-09-21 20:00:00+00:00,private,334502.92121949745
168,1887,83,2014-09-21 21:00:00+00:00,private,17713.062310756573
169,1734,83,2014-09-25 05:00:00+00:00,public,11448.25622254355
170,378,79,2014-09-25 23:00:00+00:00,public,8441.26957126723
171,1285,81,2014-09-26 23:00:00+00:00,private,53170.794733966715
172,345,79,2014-09-27 04:00:00+00:00,public,2536.4999858420556
173,2000,83,2014-09-27 13:00:00+00:00,private,8327.690253245577
174,1909,83,2014-09-29 02:00:00+00:00,private,2339.231621883874
175,1135,81,2014-09-29 08:00:00+00:00,public,2014.2875370125657
176,340,79,2014-09-30 01:00:00+00:00,public,781610.5564040529
177,1112,81,2014-09-30 02:00:00+00:00,public,31761.41062394251
178,624,79,2014-09-30 07:00:00+00:00,private,11001.445189939903
179,1169,81,2014-10-01 05:00:00+00:00,public,342713.4282682492
180,502,79,2014-10-03 22:00:00+00:00,public,18811.027635408194
181,609,79,2014-10-06 12:00:00+00:00,private,4927.862400310687
182,1053,81,2014-10-08 17:00:00+00:00,public,1409.5749132727392
183,1102,81,2014-10-10 19:00:00+00:00,public,13799.356109094035
184,1837,83,2014-10-12 03:00:00+00:00,public,17301.998394806164
185,432,79,2014-10-12 05:00:00+00:00,public,1963.1053282805938
186,1266,81,2014-10-12 06:00:00+00:00,private,119401.49276468763
187,1041,81,2014-10-12 21:00:00+00:00,public,731059.8829129497
188,1949,83,2014-10-13 09:00:00+00:00,private,21254.631037888274
189,1995,83,2014-10-13 16:00:00+00:00,private,7991.158913556186
190,497,79,2014-10-13 22:00:00+00:00,public,475432.135046201
191,1168,81,2014-10-15 00:00:00+00:00,public,20914.65033873571
192,452,79,2014-10-16 02:00:00+00:00,public,17389.931168920382
193,1281,81,2014-10-16 12:00:00+00:00,private,609453.236086745
194,469,79,2014-10-16 13:00:00+00:00,public,8007.015002801483
195,560,79,2014-10-18 07:00:00+00:00,private,8474.804363085505
196,386,79,2014-10-19 04:00:00+00:00,public,81933.67542326533
197,661,79,2014-10-20 23:00:00+00:00,private,332846.4176779799
198,1230,81,2014-10-22 03:00:00+00:00,private,16225.819312104408
199,361,79,2014-10-23 21:00:00+00:00,public,6694.713031779528
200,1795,83,2014-10-24 23:00:00+00:00,public,1257035.2310492967
201,1874,83,2014-10-27 00:00:00+00:00,private,173953.04414984194
202,1047,81,2014-10-27 05:00:00+00:00,public,8114.207104764131
203,578,79,2014-10-27 15:00:00+00:00,private,3022.804814587917
204,1809,83,2014-10-29 17:00:00+00:00,public,10602.173142845317
205,1083,81,2014-10-30 00:00:00+00:00,public,2998.5763046973902
206,1924,83,2014-10-30 16:00:00+00:00,private,823556.0065930698
207,1743,83,2014-10-31 12:00:00+00:00,public,266950.91103981173
208,1928,83,2014-11-01 11:00:00+00:00,private,9604.531626375776
209,1847,83,2014-11-02 01:00:00+00:00,public,8857.777467408438
210,1906,83,2014-11-02 06:00:00+00:00,private,19369.47767902163
211,1178,81,2014-11-02 08:00:00+00:00,private,11221.966688785229
212,517,79,2014-11-02 21:00:00+00:00,private,55692.203051183744
213,383,79,2014-11-02 22:00:00+00:00,public,39430.897042998964
214,1042,81,2014-11-03 06:00:00+00:00,public,17461.346007510707
215,1170,81,2014-11-03 17:00:00+00:00,public,3293.7567217998258
216,1298,81,2014-11-04 00:00:00+00:00,private,27055.22342960815
217,1820,83,2014-11-04 20:00:00+00:00,public,791283.6588547347
218,1198,81,2014-11-04 22:00:00+00:00,private,3066.5867158666033
219,409,79,2014-11-06 23:00:00+00:00,public,64261.74465386318
220,653,79,2014-11-07 04:00:00+00:00,private,108222.69278687444
221,1181,81,2014-11-07 10:00:00+00:00,private,24786.59987926704
222,1232,81,2014-11-07 19:00:00+00:00,private,11016.783150207792
223,1260,81,2014-11-09 13:00:00+00:00,private,1953.942433288222
224,1087,81,2014-11-10 08:00:00+00:00,public,7070.347683673261
225,1327,81,2014-11-11 20:00:00+00:00,private,14659.513923559382
226,2008,83,2014-11-12 14:00:00+00:00,private,4658.311907562183
227,3274,87,2014-11-13 13:00:00+00:00,private,190535.66204494954
228,428,79,2014-11-13 14:00:00+00:00,public,153141.42761331666
229,1939,83,2014-11-14 15:00:00+00:00,private,530178.4080354205
230,3263,87,2014-11-15 03:00:00+00:00,private,6370.081497889818
231,424,79,2014-11-15 06:00:00+00:00,public,307606.7181229406
232,669,79,2014-11-15 08:00:00+00:00,private,2447.895528777875
233,1018,81,2014-11-16 02:00:00+00:00,public,8854.255590222227
234,1290,81,2014-11-16 03:00:00+00:00,private,17421.87539916645
235,583,79,2014-11-17 01:00:00+00:00,private,202280.98028012709
236,526,79,2014-11-17 15:00:00+00:00,private,79130.87341984181
237,3193,87,2014-11-18 10:00:00+00:00,private,23608.865445702333
238,2321,84,2014-11-18 13:00:00+00:00,private,63706.89005829927
239,3305,87,2014-11-19 02:00:00+00:00,private,3498.4052999745713
240,512,79,2014-11-19 22:00:00+00:00,private,19904.411785700122
241,3110,87,2014-11-20 01:00:00+00:00,public,15495.48831864649
242,2192,84,2014-11-20 08:00:00+00:00,private,11972.613645412324
243,2294,84,2014-11-21 19:00:00+00:00,private,9978.893164008527
244,1267,81,2014-11-22 04:00:00+00:00,private,1174858.889674475
245,2124,84,2014-11-22 21:00:00+00:00,public,1679.5672892748485
246,1012,81,2014-11-23 01:00:00+00:00,public,342790.469171945
247,3255,87,2014-11-23 14:00:00+00:00,private,180393.20966786312
248,1096,81,2014-11-23 21:00:00+00:00,public,561210.8564424411
249,1914,83,2014-11-23 23:00:00+00:00,private,1418.6670880254417
250,1307,81,2014-11-24 05:00:00+00:00,private,14554.068519983965
251,1196,81,2014-11-24 13:00:00+00:00,private,20962.65273001883
252,3253,87,2014-11-25 11:00:00+00:00,private,4755.725815604195
253,1016,81,2014-11-26 02:00:00+00:00,public,226941.556776649
254,1971,83,2014-11-26 08:00:00+00:00,private,37183.684425398846
255,1875,83,2014-11-26 12:00:00+00:00,private,11626.875895663232
256,3071,87,2014-11-26 14:00:00+00:00,public,5377.81513563772
257,1147,81,2014-11-26 20:00:00+00:00,public,1479.157810660133
258,1947,83,2014-11-27 03:00:00+00:00,private,15533.78955710996
259,4271,90,2014-11-28 01:00:00+00:00,private,2348.8719644029175
260,1031,81,2014-11-29 00:00:00+00:00,public,9220.155069629644
261,4285,90,2014-11-29 07:00:00+00:00,private,16638.92958923538
262,3262,87,2014-11-29 08:00:00+00:00,private,3176.8768913822473
263,3600,88,2014-11-29 14:00:00+00:00,private,35685.6250128831
264,1223,81,2014-11-30 11:00:00+00:00,private,22083.97751418771
265,3120,87,2014-12-01 13:00:00+00:00,public,26618.1732063736
266,2319,84,2014-12-02 05:00:00+00:00,private,1212.9605897354757
267,1310,81,2014-12-03 12:00:00+00:00,private,14795.015781180253
268,1717,83,2014-12-03 15:00:00+00:00,public,68423.47485690322
269,3680,88,2014-12-04 03:00:00+00:00,private,580916.5544414227
270,1034,81,2014-12-04 12:00:00+00:00,public,72932.44129853303
271,1905,83,2014-12-04 16:00:00+00:00,private,141239.41905422928
272,3409,88,2014-12-05 08:00:00+00:00,public,11471.393395633157
273,3138,87,2014-12-05 17:00:00+00:00,public,2229.679284057596
274,4275,90,2014-12-05 22:00:00+00:00,private,23003.709203458806
275,4077,90,2014-12-06 15:00:00+00:00,public,367346.4011363774
276,3194,87,2014-12-06 16:00:00+00:00,private,17278.480136329483
277,1912,83,2014-12-07 05:00:00+00:00,private,5326.002242630771
278,592,79,2014-12-07 05:00:00+00:00,private,9444.613790405838
279,496,79,2014-12-07 22:00:00+00:00,public,1305144.6844110242
280,4054,90,2014-12-08 01:00:00+00:00,public,41184.14260511837
281,1195,81,2014-12-08 03:00:00+00:00,private,1535.6150879183122
282,528,79,2014-12-08 04:00:00+00:00,private,1086062.0710447526
283,3293,87,2014-12-08 05:00:00+00:00,private,531470.6351453152
284,1117,81,2014-12-08 09:00:00+00:00,public,85663.28352487086
285,443,79,2014-12-08 11:00:00+00:00,public,24577.69577938813
286,3386,88,2014-12-09 00:00:00+00:00,public,20052.171608881807
287,3037,87,2014-12-09 01:00:00+00:00,public,6861.783960265695
288,3484,88,2014-12-09 02:00:00+00:00,public,9009.637767996448
289,1936,83,2014-12-09 02:00:00+00:00,private,10320.305775929452
290,1706,83,2014-12-09 04:00:00+00:00,public,18102.8927302362
291,4364,90,2014-12-09 18:00:00+00:00,private,11415.344973026407
292,392,79,2014-12-09 18:00:00+00:00,public,74211.47560427024
293,3659,88,2014-12-10 17:00:00+00:00,private,24928.605862456414
294,2055,84,2014-12-11 06:00:00+00:00,public,2021.6632134209376
295,2066,84,2014-12-11 14:00:00+00:00,public,1872.725449629082
296,1070,81,2014-12-11 19:00:00+00:00,public,83.40816002553585
297,1777,83,2014-12-11 23:00:00+00:00,public,10744.842027172337
298,1182,81,2014-12-12 04:00:00+00:00,private,1593.8022111340688
299,2222,84,2014-12-12 08:00:00+00:00,private,1304105.4637720338
300,1315,81,2014-12-12 12:00:00+00:00,private,10022.661877404433
301,3259,87,2014-12-12 15:00:00+00:00,private,4837.343663081208
302,3191,87,2014-12-13 03:00:00+00:00,public,141003.99829535544
303,3344,87,2014-12-13 05:00:00+00:00,private,23251.550877448673
304,1962,83,2014-12-13 05:00:00+00:00,private,510032.9921448937
305,1051,81,2014-12-13 05:00:00+00:00,public,83211.39503991003
306,1188,81,2014-12-13 10:00:00+00:00,private,6574.649678310734
307,1239,81,2014-12-13 11:00:00+00:00,private,4453.821563110685
308,3477,88,2014-12-13 16:00:00+00:00,public,3287.159163199953
309,3035,87,2014-12-13 22:00:00+00:00,public,10645.528109402236
310,1802,83,2014-12-14 18:00:00+00:00,public,388424.09846838785
311,1316,81,2014-12-15 03:00:00+00:00,private,22508.027029185887
312,1911,83,2014-12-15 14:00:00+00:00,private,526805.8268674077
313,2011,83,2014-12-15 15:00:00+00:00,private,2955.6667168175645
314,1172,81,2014-12-16 00:00:00+00:00,public,21970.779245127753
315,2107,84,2014-12-16 04:00:00+00:00,public,4186.814160266918
316,3474,88,2014-12-17 01:00:00+00:00,public,11766.986449914495
317,2245,84,2014-12-17 05:00:00+00:00,private,100.69885109282215
318,2087,84,2014-12-17 08:00:00+00:00,public,365.27648176316416
319,2306,84,2014-12-17 09:00:00+00:00,private,21966.372900765164
320,4278,90,2014-12-17 22:00:00+00:00,private,334.8724583380611
321,357,79,2014-12-18 02:00:00+00:00,public,55080.89665615952
322,1217,81,2014-12-18 13:00:00+00:00,private,4002.9582270479877
323,3231,87,2014-12-18 17:00:00+00:00,private,497678.06229177286
324,1769,83,2014-12-19 04:00:00+00:00,public,23701.502292900295
325,3156,87,2014-12-19 19:00:00+00:00,public,287629.38905480504
326,2103,84,2014-12-20 05:00:00+00:00,public,10545.052218336059
327,1075,81,2014-12-20 19:00:00+00:00,public,18579.076486151585
328,464,79,2014-12-21 06:00:00+00:00,public,2474.060981980308
329,373,79,2014-12-21 14:00:00+00:00,public,644364.4478760095
330,1680,83,2014-12-21 19:00:00+00:00,public,3451.735886631502
331,1811,83,2014-12-21 21:00:00+00:00,public,564731.7450630504
332,4328,90,2014-12-22 00:00:00+00:00,private,300800.1045260957
333,1200,81,2014-12-22 00:00:00+00:00,private,161825.13891085412
334,1690,83,2014-12-22 02:00:00+00:00,public,15323.190422094713
335,1959,83,2014-12-22 04:00:00+00:00,private,80094.92597174902
336,667,79,2014-12-22 15:00:00+00:00,private,562804.938277163
337,4274,90,2014-12-23 04:00:00+00:00,private,619290.7303163543
338,539,79,2014-12-23 06:00:00+00:00,private,643608.7963511029
339,1119,81,2014-12-23 13:00:00+00:00,public,54326.11194205078
340,615,79,2014-12-23 18:00:00+00:00,private,99325.77251114885
341,4190,90,2014-12-24 15:00:00+00:00,public,17701.100281568164
342,2009,83,2014-12-24 17:00:00+00:00,private,46303.50953704751
343,1109,81,2014-12-25 05:00:00+00:00,public,3389.034993593068
344,1798,83,2014-12-25 11:00:00+00:00,public,16629.43836460972
345,3116,87,2014-12-25 13:00:00+00:00,public,7030.257499950977
346,1187,81,2014-12-25 17:00:00+00:00,private,164032.45969414627
347,1062,81,2014-12-26 22:00:00+00:00,public,504838.7141654523
348,3069,87,2014-12-27 07:00:00+00:00,public,13785.993317504102
349,1966,83,2014-12-27 10:00:00+00:00,private,12411.574266311316
350,662,79,2014-12-27 14:00:00+00:00,private,27489.05669952371
351,1708,83,2014-12-27 17:00:00+00:00,public,129551.10572292637
352,4144,90,2014-12-27 18:00:00+00:00,public,51389.23444909231
353,1302,81,2014-12-28 05:00:00+00:00,private,18051.519875600592
354,3065,87,2014-12-28 08:00:00+00:00,public,1863.8618367679155
355,2231,84,2014-12-28 20:00:00+00:00,private,557718.0121239842
356,4269,90,2014-12-29 00:00:00+00:00,private,1696.4990782275904
357,1888,83,2014-12-29 19:00:00+00:00,private,125948.59052979157
358,1291,81,2014-12-30 12:00:00+00:00,private,5368.353284549443
359,1086,81,2014-12-30 15:00:00+00:00,public,34739.79235699651
360,1973,83,2014-12-31 05:00:00+00:00,private,7663.798303114175
361,1309,81,2014-12-31 15:00:00+00:00,private,18445.760384875895
362,4252,90,2015-01-01 00:00:00+00:00,private,16725.93333756424
363,3422,88,2015-01-01 12:00:00+00:00,public,46218.12939621429
364,3556,88,2015-01-01 17:00:00+00:00,private,18849.053274500468
365,3356,87,2015-01-03 03:00:00+00:00,private,269889.1998793596
366,2135,84,2015-01-04 03:00:00+00:00,public,42579.33194112494
367,4079,90,2015-01-05 00:00:00+00:00,public,230657.17781134212
368,2051,84,2015-01-05 07:00:00+00:00,public,7287.944412157401
369,3500,88,2015-01-05 10:00:00+00:00,public,10695.590916093712
370,1824,83,2015-01-05 10:00:00+00:00,public,854350.8536775981
371,3143,87,2015-01-05 11:00:00+00:00,public,35833.02103705786
372,3287,87,2015-01-05 18:00:00+00:00,private,10602.600245258327
373,1010,81,2015-01-05 19:00:00+00:00,public,1285.7737446538088
374,1146,81,2015-01-05 21:00:00+00:00,public,2911.996836298125
375,2237,84,2015-01-06 01:00:00+00:00,private,120.60887919655745
376,1094,81,2015-01-07 01:00:00+00:00,public,130650.33871098801
377,3053,87,2015-01-07 01:00:00+00:00,public,1919.4295278361217
378,4135,90,2015-01-07 03:00:00+00:00,public,4842.489340883878
379,1278,81,2015-01-07 15:00:00+00:00,private,816338.3094054662
380,3141,87,2015-01-08 04:00:00+00:00,public,27887.07984006403
381,3068,87,2015-01-08 10:00:00+00:00,public,135129.76433677235
382,1261,81,2015-01-08 13:00:00+00:00,private,516117.0629593433
383,2269,84,2015-01-08 16:00:00+00:00,private,8106.804594704302
384,551,79,2015-01-09 01:00:00+00:00,private,546603.0358370133
385,3175,87,2015-01-09 07:00:00+00:00,public,23987.452700004145
386,3139,87,2015-01-09 12:00:00+00:00,public,9207.42696077657
387,3624,88,2015-01-09 14:00:00+00:00,private,472073.02731903706
388,4041,90,2015-01-10 05:00:00+00:00,public,6633.759851160913
389,1833,83,2015-01-10 19:00:00+00:00,public,68264.7777264727
390,3596,88,2015-01-11 02:00:00+00:00,private,55039.53369020702
391,3329,87,2015-01-11 05:00:00+00:00,private,12046.246330651285
392,1982,83,2015-01-11 13:00:00+00:00,private,30820.277164421335
393,1103,81,2015-01-11 15:00:00+00:00,public,18193.500150425032
394,2209,84,2015-01-11 20:00:00+00:00,private,28427.365205474227
395,3361,88,2015-01-12 05:00:00+00:00,public,15841.6263125539
396,3577,88,2015-01-12 10:00:00+00:00,private,2938.9045532224563
397,1224,81,2015-01-12 14:00:00+00:00,private,344116.0856748067
398,1286,81,2015-01-13 10:00:00+00:00,private,159.4827390060429
399,4313,90,2015-01-13 13:00:00+00:00,private,40891.898058509054
400,1829,83,2015-01-13 20:00:00+00:00,public,2301.3410325322375
401,1750,83,2015-01-13 22:00:00+00:00,public,4247.759353325877
402,2270,84,2015-01-14 05:00:00+00:00,private,3071.262615140223
403,1257,81,2015-01-14 22:00:00+00:00,private,42917.792979170095
404,1022,81,2015-01-15 03:00:00+00:00,public,76866.67634505584
405,1139,81,2015-01-15 16:00:00+00:00,public,16505.60714921532
406,1228,81,2015-01-16 04:00:00+00:00,private,2915.400745938153
407,4155,90,2015-01-16 16:00:00+00:00,public,41212.822406691135
408,3304,87,2015-01-17 01:00:00+00:00,private,4250.690951467318
409,495,79,2015-01-17 01:00:00+00:00,public,1387.5292382215744
410,1229,81,2015-01-17 13:00:00+00:00,private,328669.65503766696
411,3364,88,2015-01-17 22:00:00+00:00,public,1540.7991020201985
